10/20/2023,Running,0:50:00
10/19/2023,Biking,1:15:00
10/18/2023,Biking,2:00:00
10/17/2023,Running,1:30:00
10/15/2023,Swimming,0:40:00
10/14/2023,Running,0:45:00
10/14/2023,Biking,2:00:00
10/13/2023,Strength Training,1:30:00
10/13/2023,Swimming,1:10:00
10/12/2023,Yoga,1:00:00
10/12/2023,Walking,1:00:00
10/11/2023,Swimming,1:20:00
10/9/2023,Swimming,0:35:00
10/8/2023,Yoga,0:45:00
10/8/2023,Walking,1:00:00
10/7/2023,Running,1:00:00
10/7/2023,Walking,1:00:00
10/7/2023,Swimming,1:00:00
10/4/2023,Strength Training,1:00:00
